Location,Area,BHK,Floor,Balconies,Property Age,Parking,Near Market,Main Road,Furnishing,Price
Rau-Pithampur Road,2301,3,3,2,23,Yes,Yes,Yes,Non-Furnished,83.52
Chandan Nagar,3037,4,4,4,12,No,Yes,Yes,Semi-Furnished,124.63
Scheme No. 54,1462,3,0,0,1,Yes,No,Yes,Non-Furnished,182.59
Bhawarkuan,4153,4,2,2,9,No,No,No,Semi-Furnished,214.55
Rau-Pithampur Road,4021,4,4,4,38,No,Yes,Yes,Non-Furnished,123.46
Bengali Square,388,1,1,0,18,No,Yes,No,Non-Furnished,30.63
CAT Road,2682,3,2,0,43,Yes,Yes,Yes,Furnished,98.97
Pardesipura,2634,3,4,0,43,No,Yes,Yes,Non-Furnished,88.81
CAT Road,1846,3,1,4,45,No,Yes,Yes,Non-Furnished,60.11
Mahalaxmi Nagar,1565,3,2,2,45,No,Yes,No,Semi-Furnished,108.95
Chandan Nagar,3242,4,3,3,33,Yes,No,No,Semi-Furnished,103.12
Super Corridor,4560,5,2,2,11,Yes,No,Yes,Furnished,397.26
Limbodi,2444,3,4,3,6,Yes,No,No,Furnished,116.65
Khajrana,1809,3,1,2,14,Yes,Yes,Yes,Semi-Furnished,74.53
CAT Road,4734,4,4,4,4,Yes,No,No,Non-Furnished,223.46
Vijay Nagar,1713,3,1,3,31,Yes,Yes,Yes,Unfurnished,187.51
LIG Colony,2982,3,2,0,23,No,No,No,Semi-Furnished,156.23
Dhar Road,1000,2,3,2,19,Yes,No,No,Semi-Furnished,37.44
Dhar Road,3267,4,2,4,20,Yes,Yes,Yes,Semi-Furnished,122.0
CAT Road,597,1,3,4,18,No,Yes,Yes,Semi-Furnished,27.03
CAT Road,2713,3,4,3,18,Yes,Yes,Yes,Furnished,129.45
Indore Bypass,756,1,4,3,40,Yes,Yes,Yes,Non-Furnished,33.67
Lokmanya Nagar,2200,3,2,0,7,No,Yes,Yes,Non-Furnished,108.54
Mahalaxmi Nagar,977,2,0,2,38,No,Yes,No,Furnished,80.09
Tilak Nagar,2786,3,3,3,37,Yes,No,No,Semi-Furnished,138.77
Chandan Nagar,4397,4,2,1,3,Yes,Yes,Yes,Non-Furnished,185.65
Mahu Naka,1242,2,1,0,5,No,Yes,Yes,Semi-Furnished,69.27
Khandwa Road,688,1,3,1,32,Yes,Yes,Yes,Semi-Furnished,28.19
Chandan Nagar,2142,3,1,4,15,No,Yes,Yes,Semi-Furnished,83.73
Khandwa Road,1643,3,4,2,35,No,Yes,Yes,Semi-Furnished,63.78
Scheme No. 140,1966,3,1,1,12,No,Yes,Yes,Furnished,126.24
Scheme No. 94,2777,3,3,1,24,No,Yes,Yes,Semi-Furnished,135.75
Dhar Road,2727,3,3,0,12,Yes,No,No,Semi-Furnished,107.87
Scheme No. 140,1278,2,3,0,35,Yes,Yes,Yes,Non-Furnished,65.38
Nipania,1918,3,3,1,18,No,Yes,No,Furnished,173.71
Navlakha,983,2,1,3,1,Yes,Yes,Yes,Non-Furnished,58.76
Silicon City,4744,4,3,3,38,Yes,No,No,Semi-Furnished,128.33
Dhar Road,4909,4,3,0,42,Yes,Yes,Yes,Semi-Furnished,142.65
Mhow Road,3878,4,2,4,9,No,Yes,Yes,Semi-Furnished,170.32
Tilak Nagar,3054,4,1,0,24,No,Yes,Yes,Non-Furnished,163.89
Annapurna Road,4123,4,3,0,5,Yes,No,No,Non-Furnished,221.38
Pardesipura,1694,3,3,0,29,Yes,Yes,Yes,Furnished,72.88
Scheme No. 94,2490,3,4,1,7,No,No,No,Furnished,145.73
Annapurna Road,4889,4,4,4,15,No,Yes,Yes,Non-Furnished,249.93
Saket Nagar,1155,2,4,1,42,No,Yes,Yes,Semi-Furnished,52.37
Silicon City,1765,3,1,0,19,Yes,No,No,Furnished,61.99
Mahalaxmi Nagar,3797,5,2,1,41,Yes,Yes,No,Furnished,329.71
Navlakha,2029,3,4,2,29,Yes,No,No,Semi-Furnished,95.4
Bhawarkuan,3502,4,4,1,41,Yes,No,No,Non-Furnished,131.51
Mhow Road,4552,4,3,1,25,No,No,No,Furnished,177.16
Vijay Nagar,2389,4,4,3,41,No,Yes,Yes,Semi-Furnished,250.33
Lokmanya Nagar,1103,2,1,3,14,Yes,No,No,Non-Furnished,50.87
Dhar Road,3777,4,3,0,20,Yes,Yes,Yes,Semi-Furnished,141.86
Rau-Pithampur Road,4312,4,4,3,13,Yes,No,No,Furnished,181.95
Saket Nagar,545,1,2,0,25,No,Yes,Yes,Furnished,29.5
Pipliyahana,3358,4,4,1,44,Yes,No,No,Furnished,160.15
Gandhi Nagar,707,1,1,1,41,Yes,Yes,Yes,Semi-Furnished,27.64
Scheme No. 54,4588,5,1,3,28,No,Yes,No,Non-Furnished,429.89
Chandan Nagar,1054,2,1,1,6,Yes,Yes,Yes,Semi-Furnished,45.76
Mahalaxmi Nagar,2928,4,3,1,38,No,Yes,Yes,Semi-Furnished,225.46
Ring Road,3529,4,2,1,9,No,No,No,Furnished,205.01
Limbodi,4894,4,3,3,23,No,No,No,Furnished,197.79
Indore Bypass,2131,3,4,4,4,No,No,No,Non-Furnished,116.23
Dhar Road,4734,4,4,4,4,Yes,No,No,Non-Furnished,193.9
Limbodi,4706,4,3,2,31,Yes,Yes,Yes,Semi-Furnished,175.89
Scheme No. 140,1416,2,3,1,9,No,No,No,Furnished,91.95
Navlakha,3095,4,2,4,35,Yes,Yes,Yes,Furnished,146.5
MR-10,3673,4,2,0,31,No,Yes,Yes,Furnished,208.82
Pardesipura,4850,4,3,4,16,No,Yes,Yes,Non-Furnished,215.9
Limbodi,2119,3,4,2,21,Yes,No,No,Semi-Furnished,85.66
Khandwa Road,2176,3,4,0,6,No,No,No,Non-Furnished,99.1
Pipliyahana,2347,3,1,4,22,No,Yes,Yes,Furnished,135.62
Vijay Nagar,934,2,0,2,38,No,Yes,No,Unfurnished,109.18
Navlakha,3389,4,4,4,37,Yes,Yes,Yes,Non-Furnished,147.23
Nipania,3903,5,1,0,41,No,No,No,Non-Furnished,289.23
Pipliyahana,4408,4,1,4,21,No,Yes,Yes,Non-Furnished,237.1
Annapurna Road,2964,3,3,3,14,Yes,No,No,Furnished,161.18
Ring Road,4843,4,3,3,5,Yes,Yes,Yes,Non-Furnished,280.0
Saket Nagar,2652,3,2,0,28,No,No,No,Non-Furnished,124.92
Palasia,1975,3,4,3,2,Yes,No,No,Non-Furnished,149.89
Bengali Square,2642,4,2,3,34,Yes,No,No,Furnished,241.42
Saket Nagar,1886,3,2,4,7,No,No,No,Non-Furnished,105.67
AB Road,757,1,2,1,19,Yes,Yes,Yes,Non-Furnished,47.3
Navlakha,1280,2,2,4,18,No,No,No,Semi-Furnished,64.66
Mahalaxmi Nagar,3329,4,1,1,6,No,No,No,Non-Furnished,288.21
Gandhi Nagar,1433,2,1,2,35,No,Yes,Yes,Semi-Furnished,57.34
Bengali Square,4892,5,0,1,24,Yes,Yes,Yes,Non-Furnished,441.11
Navlakha,1824,3,2,1,14,No,Yes,Yes,Semi-Furnished,100.23
Bhawarkuan,2555,3,3,1,40,No,No,No,Furnished,103.46
Rau,3150,4,2,3,12,Yes,Yes,No,Semi-Furnished,227.04
Annapurna Road,4795,4,4,2,9,No,No,No,Furnished,270.96
Scheme No. 140,3062,4,1,3,3,No,No,No,Furnished,204.14
Mahalaxmi Nagar,401,1,2,4,11,No,Yes,No,Furnished,45.33
AB Road,4464,4,4,1,19,Yes,No,No,Furnished,285.07
Tilak Nagar,2203,3,1,2,16,No,No,No,Non-Furnished,122.27
Palasia,4582,4,4,3,2,Yes,No,No,Non-Furnished,343.19
Scheme No. 140,1098,2,2,2,13,Yes,No,No,Non-Furnished,65.35
Khandwa Road,3874,4,3,0,44,No,No,No,Semi-Furnished,131.54
Ujjain Road,2796,3,4,2,30,Yes,No,No,Non-Furnished,84.97
Silicon City,1308,2,1,4,24,No,Yes,Yes,Semi-Furnished,42.56
Silicon City,693,1,3,3,2,Yes,Yes,Yes,Semi-Furnished,29.63
Bhawarkuan,4557,4,2,0,2,No,No,No,Semi-Furnished,248.67
Super Corridor,2658,4,3,4,24,Yes,No,No,Furnished,244.97
Lokmanya Nagar,2027,3,4,4,15,Yes,No,No,Furnished,101.71
Ring Road,4798,4,2,2,13,Yes,No,No,Semi-Furnished,263.5
Palasia,2597,3,4,4,11,No,No,No,Semi-Furnished,189.84
MR-10,3798,4,4,1,5,Yes,Yes,Yes,Non-Furnished,248.25
Silicon City,1519,3,4,4,12,No,Yes,Yes,Non-Furnished,54.74
Gandhi Nagar,1601,3,4,1,3,No,Yes,Yes,Furnished,88.4
Scheme No. 54,775,2,3,0,39,No,No,Yes,Non-Furnished,66.62
Super Corridor,3565,5,0,0,11,Yes,No,Yes,Non-Furnished,368.88
Gandhi Nagar,3554,4,3,3,4,No,Yes,Yes,Non-Furnished,176.87
Palasia,4421,4,4,1,26,Yes,No,No,Non-Furnished,274.81
Ring Road,2142,3,1,4,15,No,Yes,Yes,Semi-Furnished,117.9
Annapurna Road,1618,3,2,1,6,No,Yes,Yes,Semi-Furnished,91.94
CAT Road,2730,3,4,4,30,No,No,No,Furnished,111.92
Scheme No. 94,3069,4,1,4,31,Yes,Yes,Yes,Non-Furnished,133.05
Khajrana,518,1,1,3,26,No,No,No,Non-Furnished,17.09
Saket Nagar,4400,4,1,2,25,Yes,No,No,Furnished,230.75
Scheme No. 94,1542,3,4,3,44,Yes,Yes,Yes,Non-Furnished,59.75
Indore Bypass,4342,4,1,0,35,Yes,No,No,Semi-Furnished,193.35
Vijay Nagar,2701,4,0,4,34,No,Yes,No,Semi-Furnished,268.47
Indore Bypass,3089,4,4,4,35,Yes,No,No,Semi-Furnished,141.47
Sudama Nagar,644,1,1,1,23,No,Yes,Yes,Furnished,28.59
Indore Bypass,3341,4,3,0,33,No,Yes,Yes,Semi-Furnished,158.77
Palasia,1633,3,4,1,13,Yes,Yes,Yes,Non-Furnished,119.26
Dhar Road,4417,4,4,0,20,No,Yes,Yes,Non-Furnished,159.48
Silicon City,1558,3,2,3,12,Yes,No,No,Furnished,59.4
Mhow Road,513,1,3,3,31,Yes,No,No,Non-Furnished,18.13
Mahu Naka,1087,2,4,1,41,No,No,No,Furnished,49.08
Scheme No. 140,1475,2,2,3,19,No,Yes,Yes,Furnished,90.41
Scheme No. 94,1633,3,2,3,45,Yes,Yes,Yes,Furnished,66.6
Rajendra Nagar,3850,4,1,2,8,Yes,Yes,Yes,Furnished,189.23
CAT Road,4880,4,1,0,2,Yes,Yes,Yes,Non-Furnished,237.49
Pipliyahana,2153,3,1,3,31,No,No,No,Semi-Furnished,108.32
Ujjain Road,796,1,4,2,13,No,Yes,Yes,Furnished,32.36
Tilak Nagar,4234,4,2,3,40,Yes,Yes,Yes,Furnished,214.83
Scheme No. 94,3535,4,3,0,27,Yes,Yes,Yes,Semi-Furnished,169.24
AB Road,4907,4,4,3,15,No,Yes,Yes,Non-Furnished,306.15
Saket Nagar,1413,2,1,0,17,No,Yes,Yes,Non-Furnished,75.02
Khandwa Road,4654,4,2,3,28,Yes,No,No,Non-Furnished,174.86
Gandhi Nagar,4242,4,3,0,45,Yes,No,No,Semi-Furnished,151.41
Navlakha,4368,4,4,1,12,Yes,Yes,Yes,Non-Furnished,238.54
Vijay Nagar,4482,5,4,3,6,Yes,No,Yes,Semi-Furnished,426.84
Pardesipura,2539,3,4,4,9,No,Yes,Yes,Semi-Furnished,126.29
Navlakha,3293,4,4,0,42,Yes,No,No,Non-Furnished,128.91
Sudama Nagar,734,1,4,2,36,No,No,No,Semi-Furnished,27.23
Mahu Naka,906,2,3,3,12,No,No,No,Furnished,48.95
Rau-Pithampur Road,4232,4,4,0,23,No,No,No,Furnished,161.39
Indore Bypass,2501,3,4,3,35,Yes,No,No,Furnished,119.01
Rau-Pithampur Road,2567,3,4,2,26,No,Yes,Yes,Non-Furnished,90.08
Limbodi,1299,2,4,1,19,No,Yes,Yes,Non-Furnished,52.0
Chandan Nagar,4319,4,1,0,7,No,No,No,Semi-Furnished,175.89
Rau-Pithampur Road,3412,4,1,0,5,Yes,Yes,Yes,Semi-Furnished,149.84
Bengali Square,4614,5,0,2,13,No,No,Yes,Furnished,406.23
Mhow Road,1382,2,3,0,1,No,No,No,Furnished,65.7
Nipania,613,1,1,2,28,No,Yes,No,Non-Furnished,47.16
Silicon City,3552,4,2,1,26,Yes,Yes,Yes,Semi-Furnished,114.5
MR-10,3223,4,2,3,32,Yes,Yes,Yes,Furnished,183.73
Dhar Road,897,2,2,0,1,No,Yes,Yes,Furnished,41.27
Scheme No. 54,2706,4,3,0,15,No,Yes,No,Furnished,270.26
Scheme No. 94,1376,2,3,2,39,Yes,No,No,Furnished,59.6
Sudama Nagar,2475,3,3,4,39,Yes,No,No,Furnished,92.47
Indore Bypass,1929,3,2,2,30,Yes,Yes,Yes,Non-Furnished,90.03
Khandwa Road,3507,4,3,3,9,Yes,Yes,Yes,Furnished,176.59
Khajrana,1798,3,4,0,34,Yes,Yes,Yes,Non-Furnished,58.25
Scheme No. 94,1187,2,2,3,12,No,No,No,Furnished,65.46
Tilak Nagar,2314,3,4,1,39,No,No,No,Furnished,116.08
Silicon City,2903,3,3,3,17,No,Yes,Yes,Non-Furnished,98.6
MR-10,4387,4,1,3,2,No,Yes,Yes,Semi-Furnished,297.04
Rau-Pithampur Road,1200,2,3,2,27,No,No,No,Semi-Furnished,41.76
Sudama Nagar,1607,3,4,0,32,Yes,Yes,Yes,Furnished,67.59
Ujjain Road,1018,2,1,4,5,No,Yes,Yes,Non-Furnished,39.82
Vaishali Nagar,3954,4,2,1,7,Yes,No,No,Furnished,272.99
Navlakha,618,1,2,1,39,Yes,Yes,Yes,Furnished,29.08
Scheme No. 94,3255,4,4,2,12,Yes,Yes,Yes,Semi-Furnished,181.3
Annapurna Road,1931,3,4,0,32,Yes,Yes,Yes,Semi-Furnished,90.01
Mhow Road,1346,2,2,1,38,No,No,No,Furnished,45.81
Pipliyahana,2451,3,1,2,29,No,No,No,Furnished,129.37
Mahu Naka,2407,3,4,1,43,No,No,No,Furnished,107.14
Rajendra Nagar,3082,4,4,2,41,Yes,No,No,Furnished,107.68
Pipliyahana,3252,4,4,0,23,No,Yes,Yes,Non-Furnished,176.67
Tilak Nagar,3855,4,2,1,9,Yes,Yes,Yes,Furnished,254.72
Mahalaxmi Nagar,1126,2,0,1,22,Yes,Yes,Yes,Furnished,103.39
Pardesipura,4242,4,3,0,45,Yes,No,No,Semi-Furnished,139.97
LIG Colony,3114,4,1,0,30,No,No,No,Furnished,161.46
Annapurna Road,803,2,3,0,39,No,No,No,Non-Furnished,31.45
Nipania,3138,4,4,1,43,Yes,Yes,No,Furnished,241.84
Dhar Road,3672,4,2,0,34,No,Yes,Yes,Semi-Furnished,116.7
Dhar Road,3389,4,4,3,3,No,Yes,Yes,Semi-Furnished,149.61
Pardesipura,4533,4,3,0,2,Yes,No,No,Semi-Furnished,229.88
Super Corridor,3580,5,0,2,37,No,No,No,Furnished,325.37
Annapurna Road,2948,3,4,1,12,Yes,No,No,Semi-Furnished,158.84
Mhow Road,942,2,3,0,31,Yes,No,No,Furnished,35.48
Limbodi,4455,4,3,4,7,No,Yes,Yes,Furnished,214.17
Sudama Nagar,3142,4,1,3,19,Yes,No,No,Furnished,142.22
Mhow Road,2347,3,1,4,22,No,Yes,Yes,Furnished,95.64
Tilak Nagar,1129,2,1,3,11,Yes,Yes,Yes,Semi-Furnished,72.19
Nipania,1620,3,2,1,34,Yes,Yes,Yes,Non-Furnished,112.32
Scheme No. 140,1597,3,4,4,1,No,No,No,Non-Furnished,102.13
Chandan Nagar,3489,4,2,1,2,No,No,No,Semi-Furnished,149.53
Scheme No. 140,674,1,1,0,3,No,No,No,Semi-Furnished,43.29
Vaishali Nagar,1033,2,1,4,3,No,Yes,Yes,Non-Furnished,68.98
Indore Bypass,1538,3,4,0,6,Yes,Yes,Yes,Furnished,94.85
Lokmanya Nagar,4306,4,4,1,40,Yes,Yes,Yes,Furnished,185.41
Rau,2609,4,2,4,36,Yes,Yes,Yes,Furnished,140.53
Mhow Road,2985,3,4,4,15,No,Yes,Yes,Non-Furnished,121.07
Palasia,3728,4,4,2,13,No,No,No,Semi-Furnished,268.39
Rau,3867,5,2,2,38,No,Yes,Yes,Non-Furnished,217.75
Vaishali Nagar,2228,3,4,1,38,Yes,No,No,Non-Furnished,114.96
Super Corridor,3653,5,4,3,39,Yes,Yes,No,Furnished,383.9
Lokmanya Nagar,1136,2,4,1,37,No,No,No,Non-Furnished,44.54
Bengali Square,3176,4,1,2,35,No,Yes,No,Semi-Furnished,297.48
Khandwa Road,2491,3,3,2,45,No,Yes,Yes,Semi-Furnished,86.72
Saket Nagar,1850,3,1,0,45,Yes,Yes,Yes,Non-Furnished,77.01
Pardesipura,2021,3,1,1,37,Yes,No,No,Non-Furnished,69.71
Tilak Nagar,3371,4,4,2,12,Yes,Yes,Yes,Furnished,221.07
Rajendra Nagar,2224,3,4,2,18,Yes,Yes,Yes,Furnished,102.69
Ujjain Road,4489,4,2,2,13,Yes,Yes,Yes,Furnished,180.66
Saket Nagar,678,1,2,1,9,Yes,No,No,Non-Furnished,39.28
Vijay Nagar,3657,5,4,3,25,No,Yes,Yes,Unfurnished,357.49
Navlakha,3978,4,2,0,19,Yes,No,No,Semi-Furnished,200.75
Scheme No. 54,560,1,1,2,1,No,No,Yes,Non-Furnished,59.5
Indore Bypass,4534,4,1,1,15,Yes,No,No,Semi-Furnished,235.82
Nipania,1633,3,3,1,31,Yes,Yes,Yes,Non-Furnished,109.51
Bengali Square,2799,4,3,4,18,No,Yes,No,Semi-Furnished,239.8
Vaishali Nagar,4089,4,2,2,40,No,No,No,Semi-Furnished,210.9
Tilak Nagar,3691,4,2,4,20,Yes,No,No,Semi-Furnished,211.22
Mhow Road,1306,2,3,3,45,No,No,No,Semi-Furnished,39.71
Lokmanya Nagar,1220,2,3,1,43,No,No,No,Non-Furnished,45.31
Silicon City,3734,4,4,0,19,No,No,No,Semi-Furnished,127.53
Mhow Road,546,1,3,4,27,Yes,Yes,Yes,Semi-Furnished,21.52
Indore Bypass,2335,3,4,0,8,No,No,No,Non-Furnished,123.96
Navlakha,4147,4,4,2,5,No,No,No,Furnished,245.08
Vaishali Nagar,1277,2,2,4,34,No,Yes,Yes,Non-Furnished,68.34
CAT Road,4319,4,2,1,15,Yes,Yes,Yes,Non-Furnished,190.85
Vijay Nagar,374,1,0,1,29,Yes,No,Yes,Semi-Furnished,70.08
Rau,4091,5,1,2,16,No,No,Yes,Semi-Furnished,271.15
Mahu Naka,4017,4,3,2,45,Yes,No,No,Furnished,175.92
MR-10,2655,3,2,0,33,Yes,Yes,Yes,Semi-Furnished,146.28
Bengali Square,2514,4,4,3,24,Yes,Yes,No,Non-Furnished,216.17
LIG Colony,3668,4,3,1,37,No,No,No,Furnished,184.75
CAT Road,4146,4,3,1,4,Yes,Yes,Yes,Semi-Furnished,211.74
Annapurna Road,4002,4,4,0,34,Yes,No,No,Semi-Furnished,176.06
Mahalaxmi Nagar,4957,5,2,0,40,Yes,Yes,Yes,Semi-Furnished,355.59
Scheme No. 94,1100,2,3,1,23,Yes,Yes,Yes,Furnished,58.18
Palasia,2293,3,4,4,14,No,Yes,Yes,Semi-Furnished,170.01
Mahu Naka,3728,4,3,2,33,No,Yes,Yes,Non-Furnished,170.42
Pipliyahana,4567,4,1,3,19,No,No,No,Semi-Furnished,253.53
Ring Road,1995,3,4,3,40,Yes,No,No,Non-Furnished,84.75
Navlakha,1993,3,3,1,1,No,No,No,Furnished,120.66
Nipania,1578,3,0,4,33,No,Yes,Yes,Semi-Furnished,122.3
Sudama Nagar,672,1,3,4,7,Yes,Yes,Yes,Semi-Furnished,35.16
Gandhi Nagar,4006,4,1,0,6,No,No,No,Non-Furnished,185.75
Lokmanya Nagar,891,2,2,1,37,No,Yes,Yes,Semi-Furnished,37.22
Navlakha,4638,4,4,2,27,No,No,No,Furnished,227.11
Scheme No. 140,4774,4,1,0,9,Yes,No,No,Non-Furnished,282.37
Scheme No. 140,3463,4,2,1,7,Yes,Yes,Yes,Non-Furnished,217.1
Indore Bypass,960,2,4,0,21,No,No,No,Furnished,50.57
Sudama Nagar,2617,3,2,1,37,Yes,Yes,Yes,Furnished,102.02
Lokmanya Nagar,3085,4,4,1,19,Yes,No,No,Furnished,150.21
Nipania,2880,4,3,0,29,No,Yes,Yes,Non-Furnished,210.2
Tilak Nagar,3550,4,4,4,44,No,No,No,Furnished,169.51
Rajendra Nagar,2241,3,2,3,7,No,No,No,Furnished,107.47
Pipliyahana,3145,4,1,2,32,Yes,Yes,Yes,Furnished,168.92
Navlakha,1113,2,4,2,28,No,Yes,Yes,Semi-Furnished,54.69
Ujjain Road,1948,3,2,4,6,No,Yes,Yes,Semi-Furnished,80.23
Rau-Pithampur Road,2998,3,1,1,17,Yes,No,No,Non-Furnished,110.0
Mahu Naka,4409,4,3,4,9,No,No,No,Semi-Furnished,233.63
Super Corridor,1907,3,3,4,44,Yes,No,No,Furnished,157.6
Bengali Square,3352,4,4,3,9,No,Yes,No,Semi-Furnished,280.46
Vaishali Nagar,1973,3,1,0,32,No,No,No,Furnished,111.1
Rau-Pithampur Road,689,1,4,3,42,Yes,Yes,Yes,Semi-Furnished,21.61
Khandwa Road,585,1,1,3,27,Yes,Yes,Yes,Non-Furnished,23.68
Navlakha,4498,4,2,3,5,Yes,Yes,Yes,Semi-Furnished,267.55
Palasia,2193,3,3,4,18,No,No,No,Non-Furnished,142.6
Scheme No. 54,2982,4,3,0,3,No,No,No,Furnished,335.23
Navlakha,513,1,2,4,45,Yes,No,No,Non-Furnished,20.16
Scheme No. 54,1002,2,1,3,16,No,No,No,Furnished,118.29
Bengali Square,1820,3,1,4,6,Yes,Yes,Yes,Non-Furnished,195.52
MR-10,3451,4,2,4,3,No,No,No,Non-Furnished,213.85
Mhow Road,1020,2,4,1,27,Yes,Yes,Yes,Non-Furnished,38.05
Mahu Naka,1549,3,2,0,10,No,Yes,Yes,Semi-Furnished,84.61
Vaishali Nagar,3720,4,4,4,15,Yes,Yes,Yes,Furnished,255.4
Lokmanya Nagar,4967,4,1,0,20,No,No,No,Non-Furnished,215.71
Ring Road,4305,4,3,4,40,Yes,Yes,Yes,Non-Furnished,185.87
Gandhi Nagar,3153,4,4,2,13,Yes,Yes,Yes,Semi-Furnished,156.52
Scheme No. 54,1432,3,3,0,40,Yes,No,No,Non-Furnished,135.18
Palasia,3918,4,1,3,39,Yes,Yes,Yes,Non-Furnished,218.45
Ring Road,2231,3,1,2,6,No,Yes,Yes,Non-Furnished,125.03
Rau,894,2,2,3,7,Yes,Yes,No,Semi-Furnished,55.59
Tilak Nagar,1480,2,1,3,12,Yes,Yes,Yes,Non-Furnished,89.27
Pipliyahana,1020,2,4,1,27,Yes,Yes,Yes,Non-Furnished,55.42
Vijay Nagar,2717,4,4,4,10,No,Yes,Yes,Furnished,294.19
Rau-Pithampur Road,4106,4,4,1,5,Yes,Yes,Yes,Furnished,191.54
Rau,4078,5,0,1,3,Yes,Yes,Yes,Furnished,298.57
Ujjain Road,2363,3,3,2,4,Yes,Yes,Yes,Non-Furnished,95.91
Mahu Naka,3503,4,3,3,23,Yes,Yes,Yes,Non-Furnished,172.12
Navlakha,4891,4,4,4,1,Yes,No,No,Non-Furnished,276.54
Limbodi,839,2,4,3,37,Yes,Yes,Yes,Semi-Furnished,30.3
Nipania,1292,2,3,0,24,No,Yes,No,Semi-Furnished,117.22
AB Road,2418,3,1,0,5,No,No,No,Semi-Furnished,161.05
Annapurna Road,3721,4,2,1,24,No,No,No,Furnished,182.16
Rau,3189,4,3,4,25,Yes,Yes,No,Non-Furnished,169.3
Lokmanya Nagar,4962,4,1,2,41,No,Yes,Yes,Non-Furnished,191.37
Rajendra Nagar,1882,3,3,1,17,No,Yes,Yes,Non-Furnished,79.68
Khajrana,4763,4,2,3,31,Yes,Yes,Yes,Semi-Furnished,163.83
Vijay Nagar,3751,5,3,4,38,No,Yes,Yes,Furnished,371.87
Vijay Nagar,1718,3,0,3,44,Yes,No,No,Furnished,184.16
AB Road,993,2,4,0,19,Yes,No,No,Non-Furnished,60.3
Navlakha,4646,4,1,0,33,No,No,No,Furnished,210.47
LIG Colony,3358,4,3,1,10,Yes,Yes,Yes,Furnished,208.14
Bengali Square,4471,5,4,2,45,No,Yes,No,Non-Furnished,436.39
Bhawarkuan,905,2,2,4,34,Yes,No,No,Semi-Furnished,38.47
Scheme No. 140,4211,4,1,4,20,No,Yes,Yes,Non-Furnished,233.95
Pardesipura,1943,3,1,1,26,No,Yes,Yes,Semi-Furnished,80.87
Pipliyahana,2590,3,3,2,36,No,No,No,Semi-Furnished,126.84
Bhawarkuan,4504,4,2,4,11,Yes,Yes,Yes,Non-Furnished,230.31
Lokmanya Nagar,2080,3,4,2,15,Yes,Yes,Yes,Semi-Furnished,103.97
Tilak Nagar,1266,2,4,3,14,No,No,No,Semi-Furnished,76.51
Limbodi,1733,3,2,0,44,Yes,No,No,Non-Furnished,51.63
CAT Road,2954,3,1,0,27,Yes,No,No,Furnished,123.15
Khandwa Road,2214,3,1,0,10,Yes,No,No,Semi-Furnished,101.58
Rau,663,1,2,4,33,No,No,Yes,Furnished,35.64
Lokmanya Nagar,3717,4,3,1,17,Yes,Yes,Yes,Semi-Furnished,181.4
Scheme No. 54,1828,3,2,1,45,No,No,Yes,Furnished,199.94
LIG Colony,1765,3,1,0,19,Yes,No,No,Furnished,98.79
